# ----------------------------------------
# Queries: Organic Google Search query
# Account: Sunhouse Group
# Property: Sunhouse.com.vn - GA4.1.2
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251125
Organic Google Search query,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position
sunhouse,50484,137389,0.36745299842054313,1.7010313780579231
sunhouse tuyển dụng,5517,10473,0.5267831566886279,1.1658550558579204
bếp từ sunhouse,2815,60437,0.046577427734665854,3.139864652448004
tủ sấy quần áo sunhouse,2373,15833,0.1498768395124108,1.7384576517400365
nướng khoai bằng nồi chiên không dầu,2347,19631,0.11955580459477358,3.015587591054964
cách sử dụng nồi chiên không dầu,2336,19320,0.12091097308488613,2.750465838509317
bảo hành sunhouse,2258,4412,0.5117860380779692,1.0899818676337263
cách nướng thịt bằng nồi chiên không dầu không bị khô,2185,5767,0.37887983353563376,1.497312294087047
nồi chiên không dầu sunhouse,1977,35796,0.05522963459604425,2.0656777293552353
nướng cá bằng nồi chiên không dầu,1949,14135,0.13788468340997523,3.0466218606296427
nướng khoai lang bằng nồi chiên không dầu,1814,17729,0.10231823565908962,3.211687066388403
ruột hàu nướng mỡ hành bằng nồi chiên không dầu,1758,5844,0.3008213552361396,2.1386036960985626
sun house,1565,6974,0.22440493260682534,8.193432750215084
tập đoàn sunhouse,1467,3968,0.36970766129032256,1.1154233870967742
sunhouse vietnam,1437,3653,0.3933753079660553,1.3835203941965508
máy lọc nước sunhouse,1384,43250,0.032,3.5596531791907515
bếp từ đôi sunhouse,1367,14290,0.09566130160951715,2.206927921623513
chảo inox sunhouse,1357,5275,0.25725118483412324,1.1708056872037915
thịt bò nướng nồi chiên không dầu,1349,3273,0.4121600977696303,1.435991445157348
bình giữ nhiệt sunhouse,1285,4644,0.27670111972437555,1.0260551248923342
vịt nướng nồi chiên không dầu,1271,4554,0.2790953008344313,2.0779534475186647
sunhouse group,1251,3036,0.41205533596837945,1.2671277997364954
quạt tích điện sunhouse,1245,9691,0.12846971416778455,1.4445361675781654
cách nướng khoai bằng nồi chiên không dầu,1217,12502,0.09734442489201728,3.6713325867861144
máy ép chậm sunhouse,1209,10007,0.12081542919956031,1.6986109723193765
máy hút ẩm sunhouse,1155,3028,0.38143989431968295,1.3903566710700133
nồi cơm điện sunhouse,1151,24936,0.0461581649021495,2.592917869746551
bếp từ đơn sunhouse,1140,12051,0.09459795867562858,2.2600614056924737
máy hút mùi sunhouse,1124,11049,0.1017286632274414,1.9683229251515975
quạt trần sunhouse,1104,4380,0.25205479452054796,1.2404109589041097
bếp hồng ngoại sunhouse,1083,23798,0.04550802588452811,3.3254475165980333
cánh gà nướng nồi chiên không dầu,1072,5394,0.19873934000741564,2.9603262884686687
cách dùng nồi chiên không dầu,1057,8148,0.12972508591065293,2.4885861561119293
nồi áp suất sunhouse,1041,13734,0.07579729139362167,2.399446628804427
công ty sunhouse,1025,3950,0.25949367088607594,1.5134177215189872
máy lọc nước vẫn chạy nhưng không có nước,1019,7516,0.13557743480574774,1.8976849387972325
cá nướng nồi chiên không dầu,1009,11084,0.09103211836881991,4.057921328040418
cách làm pizza bằng nồi chiên không dầu,979,2758,0.35496736765772297,1.414068165337201
trung tâm bảo hành sunhouse,964,2548,0.3783359497645212,1.15149136577708
ấm siêu tốc sunhouse,949,17008,0.055797271872060204,2.3848777046095955
bếp nướng sunhouse,935,10126,0.09233655935216276,2.095990519454869
nướng mực bằng nồi chiên không dầu,908,15141,0.05996961891552738,4.401360544217686
cách làm sữa chua bằng nồi com điện,885,23765,0.03723963812329055,5.124931622133389
nướng vịt bằng nồi chiên không dầu,881,3387,0.2601121936817242,2.1166223796870387
tuyển dụng sunhouse,878,1686,0.5207591933570581,1.4466192170818506
quạt sunhouse,875,8429,0.10380828093486771,1.9657136077826551
cách nướng cá bằng nồi chiên không dầu,846,7284,0.11614497528830313,3.89387699066447
shb8100,843,1683,0.5008912655971479,1.0196078431372548
sunhouse tuyển dụng tphcm,837,1538,0.5442132639791938,1.393368010403121
sha76624kl,833,1765,0.47195467422096316,1.019830028328612
cách nướng vịt bằng nồi chiên không dầu,807,2495,0.32344689378757513,2.0104208416833664
bếp ga sunhouse,799,14355,0.05566004876349704,2.2005572971090213
quạt điều hòa sunhouse,785,11896,0.0659885675857431,2.3684431741761935
bộ nồi sunhouse,783,11399,0.06869023598561277,2.1822966926923417
quạt hơi nước sunhouse,764,22240,0.03435251798561151,2.2796762589928057
máy lọc không khí sunhouse,738,3128,0.23593350383631714,1.25383631713555
shd6011,733,2473,0.2964011322280631,1.1241407197735545
làm sữa chua bằng nồi cơm điện,732,11702,0.06255340967356007,5.085711844129209
shd7744,680,2674,0.2543006731488407,1.3949139865370233
cách nấu kê bằng nồi com điện,672,2674,0.2513089005235602,2.2543006731488404
cách làm pizza tại nhà bằng nồi chiên không dầu,666,2038,0.3267909715407262,1.678115799803729
nướng thịt bò bằng nồi chiên không dầu,664,1824,0.36403508771929827,1.6644736842105263
công ty cổ phần tập đoàn sunhouse,658,2062,0.31910766246362754,1.435984481086324
cách nấu gạo lứt đen bằng nồi com điện,648,2255,0.28736141906873613,1.8780487804878048
máy xay thịt sunhouse,647,5262,0.12295705055112124,2.0121626757886735
sunhouse đà nẵng,641,1796,0.3569042316258352,1.4175946547884188
tủ sấy sunhouse,640,4919,0.1301077454767229,1.9066883512909127
đèn pin,638,136674,0.004668042202613519,3.967316387901137
bếp sunhouse,623,8753,0.07117559693819261,1.847595110247915
làm pizza bằng nồi chiên không dầu,618,1865,0.33136729222520106,1.4482573726541554
vịt nướng chao bằng nồi chiên không dầu,618,1524,0.40551181102362205,1.6981627296587927
máy sấy tóc sunhouse,609,6487,0.09388006782796363,2.19346385077848
tổng đài sunhouse,593,5181,0.11445666859679599,1.937849835939008
vịt nướng bằng nồi chiên không dầu,591,1805,0.32742382271468146,2.1490304709141275
shd7777,582,1331,0.43726521412471825,1.0127723516153269
cách nấu kê,581,3679,0.15792334873606959,3.0081543897798313
bếp ga âm sunhouse,574,4994,0.11493792551061273,2.008009611533841
vợt muỗi sunhouse,571,3432,0.16637529137529136,1.6430652680652682
nồi chiên không dầu sunhouse shd4030 6.5 lít,568,5554,0.102268635217861,2.5595966870723803
máy sấy quần áo mini,566,9609,0.05890311166614632,4.081486106774898
cách làm vịt nướng bằng nồi chiên không dầu,565,1838,0.3073993471164309,2.1028291621327533
bếp điện từ sunhouse,559,17759,0.031476997578692496,3.4310490455543667
bò nướng nồi chiên không dầu,555,1189,0.4667788057190917,1.4507989907485281
máy lạnh sunhouse,545,6698,0.08136757240967453,2.037175276201851
bếp điện sunhouse,538,14331,0.037540995045705114,3.296769241504431
máy sấy quần áo sunhouse,538,3441,0.15634989828538215,1.3908747457134554
lò vi sóng sunhouse,536,2717,0.1972764078027236,1.3728376886271623
bộ nồi inox 304 sunhouse,518,2892,0.17911479944674966,1.3647994467496543
cách nấu nếp cẩm,515,5671,0.09081290777640627,3.302944806912361
điều hoà sunhouse,515,3643,0.14136700521548173,1.498215756244853
lõi lọc nước sunhouse,514,6295,0.08165210484511518,3.108975377283558
sunhouse bảo hành,511,749,0.6822429906542056,1.0106809078771695
bếp nướng điện sunhouse,506,5358,0.09443822321761851,2.3163493840985443
bếp hồng ngoại sunhouse shd6011,495,2116,0.2339319470699433,1.2703213610586013
hút mùi sunhouse,489,4212,0.11609686609686609,2.118471035137702
cách nấu xôi bằng nồi com điện không bị nhão,487,3840,0.12682291666666667,3.528125
shd7789,480,1146,0.418848167539267,1.012216404886562
hàu nướng mỡ hành bằng nồi chiên không dầu,479,5876,0.08151803948264125,3.3868277739959156
sha8823la,477,895,0.5329608938547487,1.0245810055865923
nhà máy sunhouse,475,2644,0.17965204236006052,1.241679273827534
shd4038,472,1400,0.33714285714285713,1.0242857142857142
nồi sunhouse,469,8155,0.05751072961373391,2.4413243408951564
sunhouse.com.vn,467,739,0.631935047361299,1
bếp từ đôi,462,38603,0.01196798176307541,8.137320933606198
máy làm sữa hạt sunhouse,460,2914,0.1578586135895676,2.173987645847632
vịt cháy tỏi bằng nồi chiên không dầu,460,815,0.5644171779141104,1.4503067484662577
chảo sunhouse,459,7411,0.06193496154365133,3.2756712994197814
sunhouse chảo,459,1936,0.23708677685950413,1.3946280991735538
nướng cá bằng nồi chiên ko dầu,458,2413,0.1898052217157066,2.747617074181517
tủ nhựa sunhouse,455,1550,0.29354838709677417,1.0858064516129031
shd7776,454,1341,0.33855331841909025,1.045488441461596
hướng dẫn sử dụng nồi chiên không dầu,451,4036,0.11174430128840436,2.5550049554013876
cách nấu hạt kê bằng nồi com điện,446,5578,0.07995697382574399,3.022947292936536
nồi lẩu điện sunhouse,441,8541,0.051633298208640675,2.6995667954572067
bếp gas sunhouse,437,5570,0.07845601436265709,2.2046678635547576
chảo chống dính mới mua về nên làm gì,430,2367,0.18166455428812844,2.8918462188424163
mmb6632,430,1442,0.29819694868238555,1.007628294036061
sha76639la,426,896,0.47544642857142855,1.0591517857142858
cách làm bánh pizza bằng nồi chiên không dầu,423,1821,0.23228995057660626,2.1235584843492585
máy vắt cam sunhouse,420,4973,0.08445606273878946,1.9394731550372009
sunhouse shd6011,419,1286,0.32581648522550544,1.0839813374805598
bếp từ sunhouse shd6011,418,1422,0.2939521800281294,1.139240506329114
cách tôi chảo inox sunhouse,415,678,0.612094395280236,1.2433628318584071
cách sử dụng nồi chiên không dầu sunhouse,410,1421,0.2885292047853624,2.0415200562983813
cách ướp thịt bò nướng nồi chiên không dầu,410,2048,0.2001953125,2.10693359375
máy ép chậm sunhouse shd5515,410,1307,0.3136954858454476,1.0237184391736802
shd4030,410,5280,0.07765151515151515,2.658712121212121
cách làm ruột hàu nướng mỡ hành,409,1527,0.2678454485920105,2.753765553372626
lò nướng sunhouse,408,3339,0.12219227313566937,1.5390835579514826
chảo chống dính sunhouse,405,8692,0.0465945697192821,3.670616658996779
shd7346,405,1870,0.21657754010695188,1.6433155080213904
cách nấu cơm gạo lứt bằng nồi cơm điện,400,1026,0.3898635477582846,1.5867446393762183
cách sử dụng bếp từ đôi,398,3068,0.12972620599739243,1.8676662320730117
cách nấu xôi trắng bằng nồi com điện,397,2243,0.17699509585376727,2.485510477039679
máy lọc nước sunhouse 11 lõi,392,3564,0.10998877665544332,2.2629068462401793
nấu cơm nếp bằng nồi cơm điện,392,3557,0.1102052291256677,2.7725611470340175
cách nấu sữa chua nếp cẩm bằng nồi cơm điện,382,1501,0.25449700199866754,2.1818787475016657
ruột hàu nướng mỡ hành,376,778,0.4832904884318766,1.3419023136246786
lõi lọc sunhouse,375,3108,0.12065637065637065,2.3552123552123554
chiên cá bằng nồi chiên không dầu,374,5563,0.06722991191802984,4.316376056084846
quạt tích điện,374,38341,0.009754570824965442,8.534493101379724
shb82022,373,643,0.5800933125972006,1.0046656298600312
cách nướng khoai lang bằng nồi chiên không dầu,370,4005,0.09238451935081149,3.524594257178527
máy xay sinh tố sunhouse,369,10207,0.036151660625061234,2.8407955324777117
máy ép chậm,368,32786,0.011224303056182517,7.055328493869334
nồi chiên không dầu,368,56963,0.006460333900953251,8.801748503414498
shd9602,367,1311,0.2799389778794813,1.334096109839817
nồi inox sunhouse,366,3769,0.09710798620323693,2.0931281507031043
shg789,364,1120,0.325,1.4446428571428571
bảo hành máy lọc nước sunhouse,363,931,0.38990332975295383,1.0612244897959184
nồi chiên không dầu sunhouse 9l,363,3850,0.09428571428571429,2.7807792207792206
sha75102la,362,570,0.6350877192982456,1.0017543859649123
cách nấu cơm hạt kê,360,3129,0.11505273250239693,3.0271652285075104
sunhouse bếp từ,359,2297,0.1562908141053548,2.065737919024815
máy lọc nước sunhouse nước chảy yếu,358,805,0.44472049689440996,1.0795031055900621
đèn tích điện,356,21120,0.016856060606060607,4.175094696969698
lỗi e2 bếp từ sunhouse,355,1785,0.19887955182072828,1.8560224089635855
cách nấu cơm bằng bếp điện,354,1684,0.21021377672209027,1.8592636579572446
shd7228,350,813,0.43050430504305043,1.13530135301353
