ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
516475848,2025-10-21T10:12:16.364000,2025-10-21T10:15:29.187000,buy,0.02,0.02,XAUUSD,4256.87,4254.37,4254.37,,0,0,-5,,,sl
516321760,2025-10-21T08:12:48.837000,2025-10-21T08:12:49.292000,buy,0.03,0.03,XAUUSD,4270.415,4268.331,4268.915,,0,0,-6.26,,,sl
516315864,2025-10-21T08:12:26.771000,2025-10-21T08:12:49.240000,buy,0.02,0.02,XAUUSD,4271.415,4267.554,4268.915,,0,0,-7.72,,,sl
516308036,2025-10-21T08:08:11.597000,2025-10-21T08:08:20.417000,buy,0.02,0.02,XAUUSD,4272.83,4269.446,4270.33,,0,0,-6.77,,,sl
516303231,2025-10-21T08:05:23.888000,2025-10-21T08:08:20.414000,buy,0.02,0.02,XAUUSD,4271.545,4269.446,4270.33,,0,0,-4.2,,,sl
515962843,2025-10-21T06:01:11.728000,2025-10-21T07:32:17.748000,buy,0.03,0.03,XAUUSD,4318.457,4319.52,4319.52,4351.816,0,0,3.19,,,sl
515970933,2025-10-21T06:01:05.710000,2025-10-21T07:32:17.714000,buy,0.02,0.02,XAUUSD,4319.51,4319.52,4319.52,4372.229,0,0,0.02,,,sl
515952237,2025-10-21T05:36:51.387000,2025-10-21T05:38:20.633000,buy,0.03,0.03,XAUUSD,4319.495,4317.795,4317.795,,0,0,-5.1,,,sl
515941889,2025-10-21T05:33:50.946000,2025-10-21T05:34:01.037000,buy,0.03,0.03,XAUUSD,4325.648,4322.707,4323.98,4350.398,0,0,-8.82,,,sl
515937533,2025-10-21T05:32:04.995000,2025-10-21T05:32:41.482000,buy,0.03,0.03,XAUUSD,4326.835,4325.285,4325.285,,0,0,-4.65,,,sl
515933582,2025-10-21T05:31:05.618000,2025-10-21T05:31:18.030000,buy,0.03,0.03,XAUUSD,4329.02,4326.635,4327.351,,0,0,-7.15,,,sl
515923844,2025-10-21T05:30:11.215000,2025-10-21T05:30:28.949000,buy,0.03,0.03,XAUUSD,4331.11,4329.111,4329.45,4381.592,0,0,-6,,,sl
515906280,2025-10-21T05:15:50.323000,2025-10-21T05:18:27.953000,buy,0.04,0.04,XAUUSD,4332.684,4331.36,4331.36,4350.817,0,0,-5.3,,,sl
515901248,2025-10-21T05:13:42.600000,2025-10-21T05:14:43.638000,buy,0.04,0.04,XAUUSD,4332.842,4331.642,4331.642,,0,0,-4.8,,,sl
