ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
203126944,2025-10-31T08:42:16.512000,2025-10-31T08:54:06.772000,sell,0.03,0.04,XAUUSD,4025.539,4011.927,4027.042,4011.927,0,0,40.84,,,tp
203126944,2025-10-31T08:42:16.512000,2025-10-31T08:47:43.653000,sell,0.01,0.04,XAUUSD,4025.539,4018.0820000000003,4027.042,4011.927,,0,7.46,,,user
202430291,2025-10-30T17:32:45.985000,2025-10-30T17:41:23.804000,sell,0.04,0.04,XAUUSD,4007.039,4008.68,4008.68,3984.995,0,0,-6.56,,,sl
202422549,2025-10-30T17:29:11.501000,2025-10-30T17:31:37.994000,sell,0.04,0.04,XAUUSD,4002.72,4004.218,4004.218,3986.925,0,0,-5.99,,,sl
202414227,2025-10-30T17:18:01.759000,2025-10-30T17:24:15.747000,sell,0.04,0.04,XAUUSD,4000.516,4002.051,4002.051,3986.815,0,0,-6.14,,,sl
202394619,2025-10-30T16:59:02.485000,2025-10-30T17:01:16.615000,sell,0.03,0.03,XAUUSD,4001.56,4003.213,4003.213,3963.135,0,0,-4.96,,,sl
202361858,2025-10-30T16:33:08.087000,2025-10-30T16:43:18.622000,sell,0.03,0.03,XAUUSD,4000.042,4001.568,4001.568,3964.272,0,0,-4.57,,,sl
202320770,2025-10-30T16:02:42.295000,2025-10-30T16:14:52.480000,buy,0.03,0.03,XAUUSD,3996.24,3994.626,3994.626,4009.814,0,0,-4.84,,,sl
202242802,2025-10-30T14:56:15.667000,2025-10-30T15:06:37.544000,buy,0.03,0.03,XAUUSD,3990.684,3989.04,3989.04,4009.762,0,0,-4.93,,,sl
202182057,2025-10-30T14:15:01.775000,2025-10-30T14:33:22.731000,sell,0.01,0.02,XAUUSD,4012.282,3995.22,4015.217,3995.22,0,0,17.06,,,tp
202182057,2025-10-30T14:15:01.775000,2025-10-30T14:28:12.374000,sell,0.01,0.02,XAUUSD,4012.282,3999.01,4015.217,3995.22,,0,13.27,,,user
202147235,2025-10-30T13:59:52.590000,2025-10-30T13:59:54.227000,sell,0.03,0.03,XAUUSD,3993.753,3995.281,3995.281,,0,0,-4.58,,,sl
202138381,2025-10-30T13:54:54.588000,2025-10-30T13:55:10.371000,sell,0.03,0.03,XAUUSD,3988.407,3989.938,3989.938,,0,0,-4.59,,,sl
202124051,2025-10-30T13:50:54.070000,2025-10-30T13:51:10.030000,sell,0.03,0.03,XAUUSD,3979.991,3981.622,3981.622,3963.2,0,0,-4.9,,,sl
202093919,2025-10-30T13:45:17.379000,2025-10-30T13:46:09.681000,sell,0.03,0.03,XAUUSD,3977.918,3979.476,3979.476,3950.492,0,0,-4.68,,,sl
202009769,2025-10-30T12:45:37.212000,2025-10-30T13:00:57.172000,sell,0.02,0.03,XAUUSD,3978.9,3960.717,3980.52,3960.717,0,0,36.37,,,tp
202009769,2025-10-30T12:45:37.212000,2025-10-30T12:49:39.016000,sell,0.01,0.03,XAUUSD,3978.9,3969.514,3980.52,3960.717,,0,9.39,,,user
201833722,2025-10-30T10:34:17.961000,2025-10-30T10:34:33.238000,buy,0.03,0.03,XAUUSD,3982.906,3979.827,3981.287,,0,0,-9.24,,,sl
201760392,2025-10-30T09:37:23.313000,2025-10-30T09:49:11.481000,sell,0.03,0.03,XAUUSD,4006.784,3998.065,4008.59,3998.065,0,0,26.15,,,tp
